date,spend,name,postcode
13/01/2019,178,Raymond Cook,CV34 5FA
21/07/2019,121,Danielle Gardner,CV8 3DL
08/09/2019,165,Ellie Howard,CV3 3GW
25/07/2019,238,Nicole Anderson,CV7 8BA
09/06/2019,272,Chad Fields,CV31 1TS
29/12/2019,245,Nicole Anderson,CV7 8BA
24/11/2019,120,Raymond Cook,CV34 5FA
22/04/2019,213,Danielle Gardner,CV8 3DL
13/05/2019,143,Ellie Howard,CV3 3GW
04/06/2019,108,Nicole Anderson,CV7 8BA
29/10/2019,284,Danielle Gardner,CV8 3DL
06/10/2019,108,Ellie Howard,CV3 3GW
10/07/2019,292,Danielle Gardner,CV8 3DL
22/01/2019,246,Nicole Anderson,CV7 8BA
24/09/2019,268,Danielle Gardner,CV8 3DL
28/12/2019,124,Nicole Anderson,CV7 8BA
10/01/2019,220,Nicole Anderson,CV7 8BA
16/09/2019,192,Danielle Gardner,CV8 3DL
02/10/2019,152,Ellie Howard,CV3 3GW
19/01/2019,136,Danielle Gardner,CV8 3DL
23/04/2019,262,Ellie Howard,CV3 3GW
01/02/2019,136,Nicole Anderson,CV7 8BA
08/04/2019,144,Ellie Howard,CV3 3GW
07/08/2019,134,Nicole Anderson,CV7 8BA
23/11/2019,192,Ellie Howard,CV3 3GW
06/10/2019,100,Ellie Howard,CV3 3GW
25/07/2019,122,Raymond Cook,CV34 5FA
25/05/2019,252,Raymond Cook,CV34 5FA
02/06/2019,208,Raymond Cook,CV34 5FA
16/09/2019,167,Ellie Howard,CV3 3GW
31/03/2019,148,Raymond Cook,CV34 5FA
14/05/2019,109,Ellie Howard,CV3 3GW
11/05/2019,253,Raymond Cook,CV34 5FA
29/08/2019,291,Nicole Anderson,CV7 8BA
26/02/2019,244,Ellie Howard,CV3 3GW
23/05/2019,107,Ellie Howard,CV3 3GW
22/09/2019,199,Ellie Howard,CV3 3GW
04/02/2019,108,Raymond Cook,CV34 5FA
02/01/2019,129,Nicole Anderson,CV7 8BA
20/11/2019,270,Danielle Gardner,CV8 3DL
30/10/2019,109,Raymond Cook,CV34 5FA
08/05/2019,120,Nicole Anderson,CV7 8BA
30/08/2019,102,Danielle Gardner,CV8 3DL
23/12/2019,242,Ellie Howard,CV3 3GW
31/05/2019,189,Ellie Howard,CV3 3GW
07/04/2019,223,Raymond Cook,CV34 5FA
28/03/2019,149,Ellie Howard,CV3 3GW
25/07/2019,114,Nicole Anderson,CV7 8BA
16/07/2019,111,Ellie Howard,CV3 3GW
